MASTER_STATION_ID,master_station_name,min_x,max_x,min_y,max_y,station_lon,station_lat,n_cells,min_lon,min_lat,max_lon,max_lat
320,을지로3가,954875,955625,1951625,1952375,126.992548,37.566672,3,126.98900569320428,37.56287913528441,126.99754377963305,37.56967549463246
321,충무로,954875,955875,1951375,1951875,126.994072,37.56143,3,126.98903647853827,37.560625832062016,127.00038946742828,37.56518090055784
322,동대입구,955625,956875,1950375,1951625,127.005602,37.559052,13,126.99754377963305,37.55164904180509,127.01177051403307,37.56297496748296
323,약수,956375,957375,1950375,1951125,127.010541,37.554867,4,127.00606545799624,37.55168486259835,127.01743096074959,37.558491620328056
324,금호,956625,958125,1949375,1950625,127.015872,37.548034,12,127.00892550803111,37.54268340455678,127.02597872247502,37.55401938931155
325,옥수,956625,958125,1948625,1949875,127.017269,37.541684,9,127.00896985837525,37.53592344847666,127.02602151544573,37.547259429396995
326,압구정,957375,959125,1946875,1948875,127.028461,37.527072,31,127.01751810364051,37.52018515442665,127.03743747431355,37.53829102754028
327,신사,956875,958375,1945875,1947375,127.020114,37.516334,17,127.01194678506712,37.5111485957795,127.0290069992339,37.5247374920999
328,잠원,955625,957375,1945625,1947125,127.01122,37.512759,23,126.9978159097339,37.50883599389577,127.0177067136038,37.52243848288429
329,고속터미널,955875,956625,1944875,1945375,127.004916,37.504891,2,127.00075010303695,37.502087997096794,127.00926514897877,37.50663021530744
330,교대(법원.검찰청),956625,957625,1943125,1944125,127.013786,37.493025,5,127.0093093858735,37.48635019884599,127.02067937144332,37.495409994146215
331,남부터미널(예술의전당),956375,958125,1940875,1943625,127.016189,37.485013,49,127.00651094662923,37.46605834384155,127.02646287337137,37.49092612681149
332,양재(서초구청),957875,959375,1942125,1943875,127.033902,37.484477,17,127.02346418889606,37.47739468643168,127.0405289256734,37.49323532205349
333,매봉,959125,960625,1941875,1944125,127.046769,37.486947,29,127.03759039667843,37.47519749362909,127.05467947119573,37.49554283297695
