station_id,station_name,mobility_cluster,visual_cluster_pca8,mob_vis_agreement_pca8,mob_vis_mismatch_pca8,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share,mapped_cell_count,active_cell_count
2640,안암(고대병원앞),0,0,-0.2752021268202963,1.2752021268202962,129267985.31,111404335,0.2122840959014438,0.0,16,16
158,청량리(서울시립대입구),3,0,-0.27501475907006934,1.2750147590700693,99994100.51,150042392,0.085300920686724,0.0,11,11
241,이대,3,1,-0.2699866100595312,1.2699866100595312,67212191.75,155964943,-0.0109933965482309,0.0,10,10
2620,월드컵경기장(성산),4,4,-0.2634066363152947,1.2634066363152947,60324109.02,60863015,0.087203694435985,0.0477454413631719,38,20
2538,청구,3,1,-0.26095361711295184,1.2609536171129518,11920952.76,36378865,-0.0141313769579177,0.0,3,3
4133,석촌,5,3,-0.2433366165856346,1.2433366165856345,48733336.83,49772018,0.0693639427985573,0.0,6,6
309,지축,4,5,-0.24157273195477066,1.2415727319547707,53812444.88,30030807,0.1074216529067277,0.3725910035255027,89,51
240,신촌,2,1,-0.23835100425596834,1.2383510042559682,163267181.77,366568106,-0.0090471903619677,0.0,10,10
2626,대흥(서강대앞),0,0,-0.23727959717607655,1.2372795971760766,178231405.17,83903865,0.3790406994660885,0.0,15,15
2558,오금,3,3,-0.22234292205736378,1.2223429220573638,41404479.54,36806238,0.0654012755181467,0.0,5,5
2530,공덕,3,1,-0.22107070216003205,1.221070702160032,86103798.05,125289357,0.0780107163618559,0.0,9,9
4713,신설동,3,1,-0.2152875778766886,1.2152875778766885,32199133.09,9386445,0.0741103654174597,0.0,6,6
2739,남성,0,1,-0.20091758586370434,1.2009175858637042,178544655.85,102693202,0.3567951675261577,0.0001881604343746,30,27
2526,신길,3,4,-0.20027301367537803,1.200273013675378,30228492.51,38540201,0.0329231889008174,0.0,9,7
332,양재(서초구청),2,0,-0.1991293141774139,1.199129314177414,133145229.05,361173090,-0.0842070940495268,0.0,17,16
2760,굴포천,5,4,-0.19796344385360098,1.197963443853601,30258586.39,41487231,0.0293823736840742,0.0,9,9
4701,북한산우이,4,5,-0.19755814224260068,1.1975581422426007,59107439.46,14511471,0.1408759818662233,0.4194961569394297,366,36
249,신정네거리,1,3,-0.19605125721351763,1.1960512572135176,239125569.46,85419751,0.5425260948670856,0.3603671281770421,60,57
2615,연신내,5,5,-0.19599788428556916,1.1959978842855692,93006426.98,3434,0.2507569543319379,0.1079108886975974,28,17
2623,합정,3,2,-0.19505377568817997,1.19505377568818,59453762.39,137191882,-0.0089841096758967,0.0,23,14
411,노원,0,0,-0.18488745214743435,1.1848874521474344,165253309.7,217868491,0.1791294827124508,0.0845697963046606,16,16
207,상왕십리,3,1,-0.18397050919230182,1.1839705091923018,108247930.54,128402607,0.1343128541095234,0.0,13,13
222,강남,2,3,-0.17105304907838573,1.1710530490783857,181141237.6,813531431,-0.5099265137614228,0.0,7,7
2527,여의도,3,3,-0.16375431005243782,1.163754310052438,103155100.96,231476515,-0.0062158321760413,0.0,5,5
235,문래,3,1,-0.15537452424777143,1.1553745242477715,105988303.36,177940065,0.0672850471104252,0.0,15,15
218,종합운동장,3,4,-0.15182756805369788,1.1518275680536978,45760629.33,122664308,-0.0283082105761481,0.0,16,12
2614,독바위,4,5,-0.14827544751643051,1.1482754475164305,66583902.120000005,27055573,0.1457577813412834,0.2955610335743416,180,31
2746,대림(구로구청),0,0,-0.14802460848053325,1.1480246084805332,120690785.42,72776598,0.23647578286872,0.0,15,15
2560,거여,1,4,-0.14735553098758034,1.1473555309875803,209602046.57,82324537,0.4661641865978613,0.5080543103592082,40,37
2726,중곡,0,5,-0.14144710552290624,1.1414471055229063,112011496.63,92591674,0.1885515394175224,0.0902477519195343,38,27
2551,굽은다리(강동구민회관앞),0,0,-0.14089508608496026,1.1408950860849603,155152599.10999998,94153032,0.3037753293025735,0.0214512339405952,26,21
4135,한성백제,5,4,-0.1385403005930501,1.1385403005930501,48645764.98,17477013,0.1088236270445825,0.0,15,9
4123,고속터미널,3,2,-0.13657256934322032,1.1365725693432203,100800660.32,99467007,0.149658980974395,0.0,12,11
2516,발산,0,0,-0.13459286979792442,1.1345928697979244,191438578.78,171367611,0.3073910887393377,0.0120593448024551,22,22
2755,춘의,5,4,-0.13324092260371032,1.1332409226037103,87380292.53,40756458,0.1853858634929601,0.3166925253826453,25,24
210,뚝섬,3,1,-0.13252415378651794,1.1325241537865178,94463480.91,198303955,0.0109595845144281,0.0,12,12
150,서울역,3,3,-0.12859358899726164,1.1285935889972616,7608259.34,336972996,-0.3953363460004744,0.0,1,1
