station_id,station_name,mobility_visual_cluster,mobility_visual_pca_x,mobility_visual_pca_y
2514,송정,3,4.026948175407985,4.2365348135685865
4702,솔밭공원,1,-9.655701551506672,4.775015466178913
2633,버티고개,4,-13.501148841436994,-3.761107283792685
238,합정,0,14.065326908361179,-10.008306952013
2816,석촌,3,11.5796290144044,1.5177446064331337
241,이대,4,1.8604007713235098,-7.700271554754576
2643,상월곡(한국과학기술연구원),4,-10.319797380342749,-5.968641884686346
2648,봉화산(서울의료원),4,-16.488668245967354,-2.8380646553439246
2636,신당,5,17.71153374035949,-8.55178591359513
153,종로3가,5,16.71021846918586,-4.543692065888404
244,용답,3,4.3028047736163435,6.726795083902316
309,지축,1,-28.118616386197,5.191065355874572
2722,상봉(시외버스터미널),5,17.046141613429423,-9.400918241693415
2524,영등포구청,0,11.464556131687607,-8.091506735442021
245,신답,3,7.028166715231049,3.239404771719692
2827,모란,3,9.405688206078924,1.7743162335791436
2625,광흥창(서강),2,5.141659034465104,19.378921828010487
2623,합정,2,2.238796929744357,27.77600219200451
246,신설동,0,13.955281213133846,-1.1884888588118834
312,불광,4,-14.447276914524844,-16.752470176891812
2818,가락시장,3,14.12300861800627,0.3662662618539483
2634,약수,4,-0.4075972799447128,-13.738725890361353
2738,이수,4,4.619515401004095,-9.75285656835446
409,불암산,1,-29.299308485742362,0.09867692738253492
4135,한성백제,3,2.366522715729181,6.2504464079422055
2535,종로3가,5,8.35558594531304,-6.077153688646986
2645,석계,3,6.427092236465882,-1.3088701562749931
159,동묘앞,4,6.495220992334582,-7.530866513666504
325,옥수,2,-3.498498064070313,13.558431783946574
4133,석촌,3,10.039063219496759,-0.1248608268579008
2712,도봉산,1,-14.001572511368822,3.297275080001434
2732,강남구청,0,15.494394034629538,-7.646928521887613
203,을지로3가,5,18.433968249022538,-9.879229011420046
2545,군자(능동),0,9.352236246839107,-2.750353047847713
155,동대문,5,10.965274394201991,-6.059605577762087
429,신용산,3,8.91810694858737,-1.5316452588366223
4706,삼양,4,-9.057656472621368,-13.843971858455637
204,을지로4가,5,19.729833866646953,-7.9846691910149135
151,시청,5,11.734730900850307,-7.830874613662608
2752,온수(성공회대입구),4,-14.793071611679943,-0.9257916946463857
226,사당,4,-12.53834803976835,-6.886847991121396
311,연신내,1,-18.223603635057856,-9.79315842786415
205,동대문역사문화공원,5,12.494540278727639,-5.703545036297525
2512,개화산,4,-2.2129590731427897,-3.6458873511931955
4136,올림픽공원(한국체대),3,4.080873149599986,7.117842915776584
4101,개화,2,-6.717020564543109,18.39672245743087
340,가락시장,3,13.588843597777734,7.49638424557801
2541,왕십리(성동구청),5,15.458514349248162,-7.742784426878927
4116,샛강,3,15.736809770372796,6.291040927651779
2761,부평구청,3,9.411550801377645,-2.177528663159418
2719,태릉입구,0,13.84971890180955,2.1020498713332394
430,이촌(국립중앙박물관),2,7.101167882219725,19.627624830582246
2558,오금,3,8.220635199411692,-2.7691075954906585
218,종합운동장,2,7.892238331262634,21.269155212254397
321,충무로,5,10.02987475504312,-3.9057663782600454
2639,보문,4,5.258827789551538,-8.099420769923723
423,충무로,4,-7.312268442928474,-3.588823937548139
2542,마장,3,5.719356386995443,-3.744366785371916
2635,청구,0,11.825018947406633,-13.787140922781882
2735,반포,3,16.837480667549556,-1.4789216329530346
2753,까치울,1,-19.795674138894114,-6.363028210327286
2637,동묘앞,5,18.38832428078197,-6.1273793465425905
2812,천호(풍납토성),2,9.95383587588601,11.943694135529228
4713,신설동,5,8.165362092898292,-9.533887063746528
156,신설동,5,12.67024756832982,-7.304252580113351
2711,장암,1,-26.610331039059663,6.506815629590314
237,당산,2,2.145502986617578,29.59104380870865
2526,신길,3,6.561849246721919,0.7297733868653429
230,신림,4,-1.622081457073177,-3.3489450652744375
2760,굴포천,3,13.303037132852912,2.711732932064574
2619,디지털미디어시티,3,11.184974802860303,-1.8008158262235388
320,을지로3가,5,15.768551282847938,-9.772883328279923
4127,선정릉,0,9.614170081341202,-6.965239918972104
2744,보라매,5,11.034199434217843,-11.046806571079955
234,신도림,3,7.791197302875012,0.23232586456451204
4712,보문,4,7.488797565223222,-7.471819587903884
342,오금,3,9.095261081353344,-1.6413760997228655
2536,을지로4가,5,20.597527495225087,-7.947067754906508
2646,태릉입구,0,12.470468268205295,1.9292656723969084
4103,공항시장,5,15.382123770206883,-9.451359468961943
323,약수,4,-0.3883755794435915,-9.321345640119862
319,종로3가,5,12.47079680589624,-5.294765606961782
2513,김포공항,2,-1.0265029189296018,16.986140301500978
2629,삼각지,3,7.852690515933797,-6.995368131218256
2556,올림픽공원(한국체대),3,4.493317805079674,1.0074235073062423
216,잠실(송파구청),3,15.330179943359125,12.233746604518284
243,충정로(경기대입구),5,10.954010222505103,-13.435885879292199
434,남태령,1,-27.85878666338984,-5.344394320276641
422,동대문역사문화공원,5,13.88724966460002,-2.0670086983183698
431,동작(현충원),2,2.1632157962564627,22.20084296555291
2538,청구,0,12.025526151751373,-14.599215504439616
4120,동작(현충원),2,-6.167710642751631,21.449821293057028
2627,공덕,5,12.21194419796498,-7.003057015311123
150,서울역,3,13.44929451496304,1.7214706143933074
4102,김포공항,3,11.708460808099273,3.9330080020132434
2754,부천종합운동장,5,0.4653536586561059,-1.332061460576721
222,강남,0,14.26702751848682,-3.13238830261076
