station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank,STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
420,0.1520670295885158,0.08259865422289642,167.0,162.0,420,809,0.964243146603099,0.035756853396901045,6.497058868408203,1293112,0.35928163,420.0,3536529.7800000003,0.0722010078985179,0.45937595,0.10009432,0.27690738346020666
421,0.1616830123884101,0.07950354104432916,135.0,172.0,421,815,0.9713945172824792,0.028605482717520836,6.465100288391113,695372,0.19320333,421.0,2094571.03,0.012116543049461324,0.27200645,0.07880312,0.17718845704865682
422,0.158076442092184,0.07731650435358346,145.0,189.0,422,811,0.966626936829559,0.033373063170440975,6.529763221740723,689420,0.1915496,422.0,428542.3,0.013117078919589551,0.055521067,-0.13602853,0.11862883894427882
423,0.12247217635491067,0.07566394799773302,279.0,194.0,423,811,0.966626936829559,0.033373063170440975,6.439816474914551,954177,0.26511067,423.0,1031933.77,0.0241548426517683,0.13392633,-0.13118434,0.136777497120542
424,0.14792057776912346,0.08394383927955044,182.0,154.0,424,799,0.9523241954707986,0.04767580452920139,6.50701904296875,1148771,0.3191774,424.0,3686689.39,0.07038525003298292,0.47888786,0.15971047,0.2952365233612098
425,0.13460473033584772,0.07330226014619552,236.0,211.0,425,812,0.9678188319427891,0.03218116805721094,6.4351911544799805,870773,0.2419374,425.0,3390532.55,0.02995161380610317,0.44040492,0.19846752,0.23980843837317087
426,0.1632980620488524,0.09261819698463475,126.0,116.0,426,811,0.966626936829559,0.033373063170440975,6.496982097625732,467661,0.12993526,426.0,1399391.93,0.027437184373460793,0.1816742,0.051738933,0.19426943787718084
427,0.1934092651343061,0.11755681936222587,59.0,50.0,427,798,0.9511323003575686,0.04886769964243143,6.479477882385254,499084,0.13866594,427.0,1422175.42,0.07162267656460859,0.18463472,0.04596877,0.2648627649212717
428,0.18322468579539827,0.10528584159467193,83.0,77.0,428,803,0.9570917759237187,0.042908224076281254,6.462161064147949,172633,0.0479636,428.0,2785736.45,0.00870126376089133,0.36181715,0.31385356,0.24424251131224972
429,0.15515535549511988,0.08186514072807595,156.0,164.0,429,811,0.966626936829559,0.033373063170440975,6.4485673904418945,422126,0.11728366,429.0,1058156.81,0.10097283346111388,0.13733378,0.020050123,0.2968188542006837
430,0.21198231420878852,0.12570186919266624,28.0,33.0,430,810,0.965435041716329,0.03456495828367101,6.475496768951416,294145,0.08172494,430.0,1026483.6,0.09256659149710791,0.13321814,0.051493198,0.2934791499606001
431,0.2076257983133906,0.12508500213069576,33.0,34.0,431,801,0.9547079856972587,0.045292014302741324,6.489746570587158,66866,0.018576907,431.0,201801.90000000002,0.014023744816468502,0.026058199,0.007481292,0.16517316613658628
432,0.15119891289495935,0.08644305274799646,170.0,142.0,432,811,0.966626936829559,0.033373063170440975,6.495655059814453,667633,0.18549623,432.0,2925721.61,0.018861197214462163,0.38000694,0.19451071,0.22223184683704642
433,0.17039990650992543,0.09166817934740162,107.0,121.0,433,815,0.9713945172824792,0.028605482717520836,6.516221046447754,824009,0.22894432,433.0,2121407.44,0.02846466646700881,0.2754936,0.046549276,0.19275051578553745
434,0.290972926875665,0.1608659028652168,1.0,4.0,434,779,0.9284862932061978,0.0715137067938022,6.259082317352295,38439,0.010678644,434.0,406970.5,0.017568287720587362,0.052718002,0.042039357,0.1892152186401742
2511,0.16149634445817876,0.07473193136753427,137.0,197.0,2511,796,0.9487485101311085,0.0512514898688915,6.508734703063965,212504,0.059041508,2511.0,1527362.84,0.03832545208626546,0.19830288,0.13926136,0.24188356232349484
2512,0.16216783347790892,0.1052640854044714,131.0,78.0,2512,793,0.9451728247914184,0.0548271752085816,6.477405548095703,170975,0.047502935,2512.0,997256.04,0.07372404073476967,0.12942028,0.081917346,0.28035876872428694
2513,0.15418656112271406,0.08442936907744125,159.0,152.0,2513,801,0.9547079856972587,0.045292014302741324,6.529673099517822,245000,0.068070315,2513.0,380907.22000000003,0.01705916277281512,0.049331315,-0.018739,0.16225511395995182
2514,0.14661898194176576,0.07767778266376507,189.0,187.0,2514,808,0.9630512514898689,0.03694874851013108,6.515271186828613,308604,0.08574229,2514.0,1308891.09,0.03392505317204698,0.16991444,0.08417215,0.21462158132958706
2515,0.18233711425850668,0.0934298650058548,86.0,112.0,2515,807,0.9618593563766389,0.038140643623361115,6.454587459564209,145781,0.040502943,2515.0,3189721.63,0.06594067954941828,0.41431138,0.37380844,0.3467674516925842
