MASTER_STATION_ID,nearest_station,nearest_line,mapped_cell_count,active_cell_count,surrounding_total_flow,surrounding_outflow,surrounding_inflow,surrounding_netflow,mean_cell_flow,median_cell_flow,max_cell_flow,mean_distance_m,min_distance_m,max_distance_m,mean_directional_imbalance,morning_peak_flow,daytime_flow,evening_peak_flow,night_flow,mean_temporal_entropy,active_cell_ratio,station_abs_net_flow,station_directional_imbalance,dominant_period,period_entropy,distance_band_entropy,outer_1km_plus_share,subway_out_sum,subway_in_sum,subway_net_sum,subway_record_count,subway_file_count,subway_total_activity,subway_abs_net_flow,subway_directional_imbalance,mobility_norm,subway_norm,mobility_minus_subway_gap,hidden_demand_score,subway_overrepresentation_score,distance_norm,distance_weighted_hidden_demand,outer_hidden_demand_score,diverse_living_area_score,directional_mismatch_score,station_type
2553,고덕,5호선,53,37,174606434.02,87745109.32,86861324.7,-883784.62,3294461.019245283,509352.37,22127368.82,925.4977202511321,98.12475411,1967.65743,0.07167739862069401,31533404.76,0.0,33459305.82,109613723.44,0.6285477098520972,0.6981132075471698,883784.62,0.0050615810634948785,night,0.9179713360906132,1.1516491102423987,0.06504011667003746,48639227,47286153,-1353074,242971,6096,95925380,1353074,0.014105484909207553,0.4723292315172559,0.11790859854083179,0.3544206329764241,0.4166375537791882,0.062216920802764066,0.3250939777064894,0.15355138866099408,0.02709815510691741,0.1665850070366342,0.004271700153361423,mobility_high_subway_low
4129,봉은사,9호선(연장),16,14,183475247.15,90616770.94,92858476.21,2241705.27,11467202.946875,4554375.885,68694795.24000001,481.7386647775,70.71469784,1003.544373,0.07136043875662464,26731790.14,0.0,41466688.47,115276768.53999999,0.7967171677904342,0.875,2241705.27,0.012218025618285697,night,0.9087572575251246,0.7532920198294561,0.0,76755923,58492158,-18263765,241523,6096,135248081,18263765,0.13503899548859402,0.4964111304340277,0.1662446129681263,0.3301665174659014,0.41388545418195266,0.0837189367160513,0.16797854127553657,0.08338641756324809,0.0,0.1017767879426957,0.06096969649432341,directional_mismatch
2516,발산,5호선,22,22,191438578.78,94721131.31,96717447.47,1996316.1600000001,8701753.58090909,6015596.77,22438277.22,484.3498925590909,164.1039182,1064.242272,0.09556455973205119,30631205.86,0.0,43361693.81,117445679.11,0.9387467361465137,1.0,1996316.1600000001,0.010427972108454451,night,0.9293203542733299,1.1482613105059711,0.012059344802455184,85107164,86260447,1153283,243739,6096,171367611,1153283,0.006729877327869151,0.518034333510175,0.21064324477083732,0.30739108873933774,0.4089139005968937,0.10152281185755595,0.16890306143453906,0.08749758485806959,0.004931233721814826,0.17501095298705938,0.001915740064917963,mobility_high_subway_low
2617,새절(신사),6호선,40,35,175682743.69,88330284.75,87352458.94,-977825.81,4392068.59225,3610380.9400000004,16872551.83,788.6812587874999,131.7529526,1708.079322,0.073704914467117,31504390.87,0.0,33798934.84,110379417.98,0.7856109060086669,0.875,977825.81,0.005565861446958143,night,0.917281770782832,1.2990708817090473,0.1389221659872632,60657306,55330797,-5326509,242146,6096,115988103,5326509,0.04592289090200915,0.47525178499720316,0.14256997844906374,0.3326818065481394,0.40749514825227284,0.07481334170413342,0.276653325535788,0.13147998678629555,0.056610108624506675,0.1829643997305971,0.019179750285697697,normal
2522,오목교(목동운동장앞),5호선,27,25,204464706.26000002,101799876.11,102664830.14999999,864954.0399999998,7572766.8985185195,3235766.24,30639267.56,558.4831348533334,99.85536984,1208.963294,0.03618665132528136,33115533.64,0.0,43809431.28,127539741.34,0.8565385611146406,0.9259259259259259,864954.0399999998,0.004230334202031488,night,0.919319214667816,1.0875339996482514,0.015829955493072784,106798714,110792903,3994189,242456,6096,217591617,3994189,0.018356355153149123,0.5534047805646101,0.26746243989437035,0.2859423406702397,0.4053897877055908,0.11944744703535112,0.19515036066918773,0.10799714252323635,0.006417302296725727,0.1544016054824588,0.00781740752470434,normal
424,명동,4호선,16,13,223023993.25,108022131.1,115001862.14999999,6979731.05,13938999.578125,7949950.35,60004913.22,540.513579973125,42.37866437,1314.082461,0.110111653284607,30759039.66,0.0,52512977.13,139751976.46,0.7145981709442498,0.8125,6979731.05,0.03129587515804199,night,0.9066439136403848,0.816286595968985,0.04083754405648459,132886649,136132114,3245465,243438,6096,269018763,3245465,0.012064084169474826,0.6037996718211065,0.3306774075287295,0.273122264292377,0.40413676167660534,0.13101449738422832,0.18878813679420553,0.11399021504005946,0.016503952809813385,0.10612088685747899,0.011612149087428967,normal
2554,상일동,5호선,69,53,178306575.92000002,89909588.31,88396987.61,-1512600.7,2584153.2742028986,337779.22,20142603.39,1181.384445787971,88.27423787,2509.81195,0.024876014988199843,35007727.91,0.0,34737446.81,108561401.2,0.7175791095600509,0.7681159420289855,1512600.7,0.008483145908643613,night,0.9403848509045665,1.4344612907311205,0.18136004677981593,70995150,63075551,-7919599,244923,6096,134070701,7919599,0.05907031842848349,0.4823763981344098,0.16479736099358852,0.31757903714082125,0.4028820407162665,0.08530300357544521,0.4156921391720569,0.2005200768266046,0.0730667057510498,0.22980040314788291,0.024402058071924356,diverse_living_area_hidden
2525,영등포시장,5호선,14,14,169277354.28,84245767.62,85031586.66,785819.04,12091239.591428572,8369005.390000001,33750625.760000005,356.66022568571424,102.4993162,605.9493676,0.01423736760118847,29562124.349999998,0.0,38259449.42,101455780.51,0.9366775810620735,1.0,785819.04,0.004642198262977247,night,0.9476841762195373,0.6263145594523088,0.0,49682073,50226964,544891,241623,6096,99909037,544891,0.005453871004681989,0.457858934563542,0.1228053654802491,0.33505356908329287,0.40163140076606874,0.06657783168277587,0.12369380318713047,0.05663431293937201,0.0,0.1041570867921974,0.0003716316167312023,normal
326,압구정,3호선,31,27,227892489.42,112425151.37,115467338.05,3042186.68,7351370.626451612,2971122.36,43325699.3,559.0422979374193,40.49737396,1032.206771,0.04473242630548943,35035335.51,0.0,49246160.43,143610993.48,0.7920890210608827,0.8709677419354839,3042186.68,0.013349218694054145,night,0.909929554242244,1.066687950999446,0.0,140950291,146456390,5506099,244961,6096,287406681,5506099,0.019157867106088602,0.6170193248822405,0.3532800936904941,0.2637392311917464,0.3990386799789972,0.13529944878725075,0.19534833556324027,0.12053369812609989,0.0,0.1400729060014768,0.003584048321671799,normal
416,미아사거리,4호선,40,35,215883702.2,107939628.88,107944073.32,4444.44000000009,5397092.555,4815562.9,16989213.990000002,663.9617537825,125.2532536,1438.473116,0.05345672339317111,35389186.55,0.0,43872440.23,136622075.42,0.798729342129931,0.875,4444.44000000009,2.058719558127019e-05,night,0.9098030801723268,1.1425495289307355,0.02494268388547211,138015858,131512806,-6503052,244085,6096,269528664,6503052,0.02412749688099964,0.5844113089385039,0.3313041849744724,0.2531071239640315,0.3907933965407682,0.13768627257673677,0.2324956701175825,0.13587309889595098,0.00974743615444633,0.14680746213453633,0.014088350643717648,normal
