station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank
246,0.20053280386556355,0.11315032073577483,49.0,57.0
247,0.25414316159865213,0.15076652941634028,2.0,7.0
248,0.14031559221209988,0.07111349094304302,212.0,226.0
249,0.13651729174667876,0.06295128263614425,228.0,280.0
250,0.23033646002175312,0.12764280350021429,12.0,29.0
309,0.23721432680234544,0.12626484015749564,9.0,31.0
310,0.14849993053764582,0.07345312801744079,180.0,209.0
311,0.11693031054640575,0.06554215993687865,296.0,268.0
312,0.1435503493491856,0.07481176239320089,199.0,196.0
313,0.11818927428315557,0.06122720470681552,290.0,292.0
314,0.11774497988914691,0.0690355459279898,292.0,242.0
315,0.1453119702500454,0.0833173544190469,194.0,157.0
316,0.19245480221533587,0.09587052235091548,62.0,105.0
317,0.1312386615467923,0.07633806636172626,253.0,192.0
318,0.14545127341582895,0.07898544229434,193.0,176.0
319,0.1414085776308581,0.07880407726273886,206.0,178.0
320,0.1389963861377466,0.07601046992709769,219.0,193.0
321,0.12128129704958854,0.14425313031773954,281.0,13.0
322,0.1872845807541456,0.08538810324056868,75.0,147.0
323,0.1347155196976567,0.08887489851756346,235.0,132.0
324,0.139406601244968,0.0684199962410189,217.0,247.0
325,0.1327807653843174,0.07204276451153595,245.0,218.0
326,0.1471325817798811,0.08573533298654691,186.0,145.0
327,0.14192669878876402,0.07642559251260189,204.0,191.0
328,0.16744333323357358,0.09538992511714613,116.0,107.0
329,0.1874828678600136,0.13017723995098285,74.0,23.0
330,0.14774526159264267,0.07142743639877099,184.0,223.0
331,0.1783715169048972,0.10612560265165348,94.0,74.0
332,0.12948320929020168,0.091287243425373,263.0,125.0
333,0.15966832723675495,0.08237101096282932,140.0,163.0
334,0.17199149617245257,0.09860138634685427,103.0,100.0
335,0.23953580636353725,0.14497567167254313,7.0,11.0
336,0.2412562988048035,0.13359633348660455,6.0,21.0
337,0.16196038512483468,0.09832203186464508,132.0,101.0
338,0.20452648701353202,0.11644360918721687,39.0,52.0
339,0.2330014200955038,0.13646039621505354,11.0,18.0
340,0.17403976539859461,0.10718990576024807,99.0,71.0
341,0.20813038367925896,0.12099152250023239,32.0,41.0
342,0.15885681622321643,0.08410866824311343,144.0,153.0
409,0.1365961597759336,0.05720251419818,227.0,303.0
410,0.1135668016585802,0.05908797641048239,299.0,297.0
411,0.13708581904481562,0.08785286685932309,225.0,135.0
412,0.11764756906186304,0.06555548524410125,293.0,267.0
413,0.11876870130617473,0.0642540796859456,288.0,276.0
414,0.13788887119689397,0.07210227215278245,221.0,217.0
415,0.1282188000630528,0.06564284375432641,265.0,266.0
416,0.14889832476952247,0.07355257274900814,178.0,207.0
417,0.13544675043769303,0.06359735737251679,234.0,278.0
418,0.16254969173598857,0.11112678911839978,128.0,62.0
419,0.14284418474528052,0.08475404034021293,202.0,150.0
420,0.1520670295885158,0.08259865422289642,167.0,162.0
421,0.1616830123884101,0.07950354104432916,135.0,172.0
422,0.158076442092184,0.07731650435358346,145.0,189.0
423,0.12247217635491067,0.07566394799773302,279.0,194.0
424,0.14792057776912346,0.08394383927955044,182.0,154.0
425,0.13460473033584772,0.07330226014619552,236.0,211.0
426,0.1632980620488524,0.09261819698463475,126.0,116.0
427,0.1934092651343061,0.11755681936222587,59.0,50.0
428,0.18322468579539827,0.10528584159467193,83.0,77.0
429,0.15515535549511988,0.08186514072807595,156.0,164.0
430,0.21198231420878852,0.12570186919266624,28.0,33.0
431,0.2076257983133906,0.12508500213069576,33.0,34.0
432,0.15119891289495935,0.08644305274799646,170.0,142.0
433,0.17039990650992543,0.09166817934740162,107.0,121.0
434,0.290972926875665,0.1608659028652168,1.0,4.0
2511,0.16149634445817876,0.07473193136753427,137.0,197.0
2512,0.16216783347790892,0.1052640854044714,131.0,78.0
2513,0.15418656112271406,0.08442936907744125,159.0,152.0
2514,0.14661898194176576,0.07767778266376507,189.0,187.0
2515,0.18233711425850668,0.0934298650058548,86.0,112.0
2516,0.22024759767310953,0.1268956067831447,21.0,30.0
2517,0.14449791307930676,0.0704199371767038,197.0,232.0
2518,0.11948845631605576,0.06310126510973546,285.0,279.0
2519,0.1191325934278587,0.05812363462256535,286.0,298.0
2520,0.14039834178392846,0.062068901245763135,211.0,287.0
2521,0.1561022389691235,0.07144290737785577,149.0,222.0
2522,0.20404646133501364,0.1561340474342514,41.0,5.0
2523,0.20667920991157496,0.12141511975491921,36.0,39.0
2524,0.19726793579757224,0.10593276271700039,52.0,75.0
2525,0.1802980482445232,0.10473009951242673,87.0,82.0
2526,0.2437853907087138,0.11781774164280963,5.0,49.0
2527,0.167111501801345,0.07331397621153249,119.0,210.0
2528,0.21674286541159424,0.09992168170828668,24.0,95.0
2529,0.19150288207899968,0.1187922228785557,64.0,47.0
2530,0.15596288204607045,0.08705016293319028,150.0,138.0
2531,0.18461931562346834,0.11471066828558425,82.0,56.0
2532,0.23838259097011313,0.10172625563757874,8.0,92.0
2533,0.16365045720031327,0.0928220623852833,124.0,115.0
2534,0.15049185192892472,0.06868203967839244,173.0,244.0
